,OBJECTNUMMER,Soortnaam_NL,Boomnummer,Soortnaam_WTS,Boomtype,Boomhoogte,Plantjaar,Eigenaar,Beheerder,Categorie,SOORT_KORT,SDVIEW,RADIUS,WKT_LNG_LAT,WKT_LAT_LNG,LNG,LAT,Unnamed: 17
186057,186058,Onbekend,0,Onbekend,,Onbekend,0,Gemeente Amsterdam,Stadsdeel Centrum,Onbekend,Onbekend,A,1,POINT(4.899844 52.369158),POINT(52.369158 4.899844),4.899844,52.369158,
187138,187139,Onbekend,0,Onbekend,,Onbekend,0,Gemeente Amsterdam,Stadsdeel Centrum,Onbekend,Onbekend,A,1,POINT(4.905232 52.367219),POINT(52.367219 4.905232),4.905232,52.367219,
187567,187568,Onbekend,0,Onbekend,,Onbekend,0,Gemeente Amsterdam,Stadsdeel Centrum,Onbekend,Onbekend,A,1,POINT(4.89801 52.368733),POINT(52.368733 4.89801),4.89801,52.368733,
187794,187795,Onbekend,0,Onbekend,,Onbekend,0,Gemeente Amsterdam,Stadsdeel Centrum,Onbekend,Onbekend,A,1,POINT(4.904426 52.374784),POINT(52.374784 4.904426),4.904426,52.374784,
187795,187796,Onbekend,0,Onbekend,,Onbekend,0,Gemeente Amsterdam,Stadsdeel Centrum,Onbekend,Onbekend,A,1,POINT(4.90452 52.374719),POINT(52.374719 4.90452),4.90452,52.374719,
188193,188194,Onbekend,0,Onbekend,,Onbekend,0,Gemeente Amsterdam,Stadsdeel Centrum,Onbekend,Onbekend,A,1,POINT(4.905104 52.374409),POINT(52.374409 4.905104),4.905104,52.374409,
188194,188195,Onbekend,0,Onbekend,,Onbekend,0,Gemeente Amsterdam,Stadsdeel Centrum,Onbekend,Onbekend,A,1,POINT(4.904993 52.374461),POINT(52.374461 4.904993),4.904993,52.374461,
188195,188196,Onbekend,0,Onbekend,,Onbekend,0,Gemeente Amsterdam,Stadsdeel Centrum,Onbekend,Onbekend,A,1,POINT(4.904866 52.374532),POINT(52.374532 4.904866),4.904866,52.374532,
215983,215984,Iep (cultuurvariëteit),0,Ulmus `Rebona`,Boom niet vrij uitgroeiend,6 tot 9 m.,0,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,2,POINT(4.904635 52.374659),POINT(52.374659 4.904635),4.904635,52.374659,
215984,215985,Onbekend,0,Onbekend,,Onbekend,0,Gemeente Amsterdam,Stadsdeel Centrum,Onbekend,Onbekend,A,1,POINT(4.904736 52.374596),POINT(52.374596 4.904736),4.904736,52.374596,
215989,215990,Onbekend,0,Onbekend,,Onbekend,0,Gemeente Amsterdam,Stadsdeel Centrum,Onbekend,Onbekend,A,1,POINT(4.904501 52.374198),POINT(52.374198 4.904501),4.904501,52.374198,
215990,215991,Onbekend,0,Onbekend,,Onbekend,0,Gemeente Amsterdam,Stadsdeel Centrum,Onbekend,Onbekend,A,1,POINT(4.904612 52.374264),POINT(52.374264 4.904612),4.904612,52.374264,
215995,215996,Onbekend,0,Onbekend,,Onbekend,0,Gemeente Amsterdam,Stadsdeel Centrum,Onbekend,Onbekend,A,1,POINT(4.906466 52.373804),POINT(52.373804 4.906466),4.906466,52.373804,
215996,215997,Onbekend,0,Onbekend,,Onbekend,0,Gemeente Amsterdam,Stadsdeel Centrum,Onbekend,Onbekend,A,1,POINT(4.907106 52.373528),POINT(52.373528 4.907106),4.907106,52.373528,
216188,216189,Onbekend,0,Onbekend,,Onbekend,0,Gemeente Amsterdam,Stadsdeel Centrum,Onbekend,Onbekend,A,1,POINT(4.906685 52.372522),POINT(52.372522 4.906685),4.906685,52.372522,
220124,220125,Onbekend,0,Onbekend,,Onbekend,0,Gemeente Amsterdam,Stadsdeel Centrum,Onbekend,Onbekend,A,1,POINT(4.90196 52.375049),POINT(52.375049 4.90196),4.90196,52.375049,
220125,220126,Onbekend,0,Onbekend,,Onbekend,0,Gemeente Amsterdam,Stadsdeel Centrum,Onbekend,Onbekend,A,1,POINT(4.902013 52.375159),POINT(52.375159 4.902013),4.902013,52.375159,
221345,221346,Onbekend,0,Onbekend,,Onbekend,0,Gemeente Amsterdam,Stadsdeel Centrum,Onbekend,Onbekend,A,1,POINT(4.902637 52.372056),POINT(52.372056 4.902637),4.902637,52.372056,
221346,221347,Onbekend,0,Onbekend,,Onbekend,0,Gemeente Amsterdam,Stadsdeel Centrum,Onbekend,Onbekend,A,1,POINT(4.902695 52.372166),POINT(52.372166 4.902695),4.902695,52.372166,
221347,221348,Onbekend,0,Onbekend,,Onbekend,0,Gemeente Amsterdam,Stadsdeel Centrum,Onbekend,Onbekend,A,1,POINT(4.898377 52.370346),POINT(52.370346 4.898377),4.898377,52.370346,
221348,221349,Onbekend,0,Onbekend,,Onbekend,0,Gemeente Amsterdam,Stadsdeel Centrum,Onbekend,Onbekend,A,1,POINT(4.90276 52.372277),POINT(52.372277 4.90276),4.90276,52.372277,
221349,221350,Onbekend,0,Onbekend,,Onbekend,0,Gemeente Amsterdam,Stadsdeel Centrum,Onbekend,Onbekend,A,1,POINT(4.902806 52.372368),POINT(52.372368 4.902806),4.902806,52.372368,
221350,221351,Onbekend,0,Onbekend,,Onbekend,0,Gemeente Amsterdam,Stadsdeel Centrum,Onbekend,Onbekend,A,1,POINT(4.898763 52.370749),POINT(52.370749 4.898763),4.898763,52.370749,
221351,221352,Onbekend,0,Onbekend,,Onbekend,0,Gemeente Amsterdam,Stadsdeel Centrum,Onbekend,Onbekend,A,1,POINT(4.898307 52.370277),POINT(52.370277 4.898307),4.898307,52.370277,
223286,223287,Esdoorn (cultuurvariëteit),347655,Acer freemanii `Elegant`,Boom niet vrij uitgroeiend,6 tot 9 m.,2013,Gemeente Amsterdam,Stadsdeel Centrum,Acer,Acer,A,2,POINT(4.905227 52.368855),POINT(52.368855 4.905227),4.905227,52.368855,
223287,223288,Iep (cultuurvariëteit),347654,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,9 tot 12 m.,2013,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.907706 52.367993),POINT(52.367993 4.907706),4.907706,52.367993,
223290,223291,Iep (cultuurvariëteit),347651,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,9 tot 12 m.,2013,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.896619 52.371109),POINT(52.371109 4.896619),4.896619,52.371109,
223291,223292,Iep (cultuurvariëteit),347650,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,9 tot 12 m.,2013,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.896896 52.371407),POINT(52.371407 4.896896),4.896896,52.371407,
