Region,Scientific Name,Common Name,SpCode,Tree Type,Dbh_class1,Dbh_class2,Dbh_class3,Dbh_class4,Dbh_class5,Dbh_class6,Dbh_class7,Dbh_class8,Dbh_class9,Grand Total
CenFla,Acer rubrum,red maple,ACRU,BDM,2,5,10,9,10,12,7,1,,56
CenFla,Cinnamomum camphora,camphor tree,CICA,BEM,2,6,8,7,5,9,7,9,10,63
CenFla,Eriobotrya japonica,loquat tree,ERJA,BES,5,10,9,7,,,,,,31
CenFla,Juniperus virginiana var. silicicola,southern redcedar,JUSI,CEM,2,9,7,5,10,11,3,3,,50
CenFla,Koelreuteria elegans,Chinese rain tree,KOELFO,BDM,3,6,6,12,10,4,2,,,43
CenFla,Lagerstroemia indica,common crapemyrtle,LAIN,BDS,3,7,8,10,7,,,,,35
CenFla,Liquidambar styraciflua,sweetgum,LIST,BDL,2,6,9,7,9,10,4,1,,48
CenFla,Magnolia grandiflora,southern magnolia,MAGR,BEL,3,5,10,8,10,7,5,3,,51
CenFla,Pinus elliottii,slash pine,PIEL,CEL,3,7,7,10,7,3,,,,37
CenFla,Platanus occidentalis,American sycamore,PLOC,BDL,1,6,13,6,8,9,1,,,44
CenFla,Platycladus orientalis,Oriental arborvitae,THOR,CES,4,3,11,14,5,,,,,37
CenFla,Prunus caroliniana,Carolina laurelcherry,PRCA,BES,4,6,12,8,6,2,1,,,39
CenFla,Quercus laurifolia,laurel oak,QULA2,BDL,3,6,11,6,8,11,12,7,3,67
CenFla,Quercus shumardii,Shumard oak,QUSH,BDL,3,9,8,9,6,1,1,,,37
CenFla,Quercus virginiana,live oak,QUVI,BEL,1,8,6,8,8,10,9,7,8,65
CenFla,Sabal palmetto,cabbage palmetto,SAPA,PEM,,2,19,9,11,4,,,,45
CenFla,Syagrus romanzoffiana,queen palm,SYRO,PEL,4,3,19,4,,,,,,30
CenFla,Triadica sebifera,tallowtree,TRSE6,BDM,3,8,11,8,6,3,1,,,40
CenFla,Ulmus parvifolia,Chinese elm,ULPA,BDM,2,8,10,10,6,1,,,,37
CenFla,Washingtonia robusta,Mexican fan palm,WARO,PES,,1,14,15,8,1,1,,,40
GulfCo,Acer rubrum,red maple,ACRU,BDL,4,7,13,6,3,3,,,,36
GulfCo,Butia capitata,jelly palm,BUCA,PES,1,6,2,12,9,3,,,,33
GulfCo,Carya illinoinensis,pecan,CAIL,BDL,2,2,8,12,8,,4,,,36
GulfCo,Celtis laevigata,sugarberry,CELA,BDL,4,1,7,9,10,4,1,1,,37
GulfCo,Cornus florida,flowering dogwood,COFL,BDS,2,10,15,6,1,,,,,34
GulfCo,Gleditsia triacanthos,honeylocust,GLTR,BDL,3,6,21,7,,,,,,37
GulfCo,Ilex opaca,American holly,ILOP,BEM,3,11,17,6,,,,,,37
GulfCo,Juniperus virginiana,eastern red cedar,JUVI,CEM,2,10,7,8,10,5,1,,,43
GulfCo,Lagerstroemia indica,common crapemyrtle,LAIN,BDS,5,2,18,9,7,,1,,,42
GulfCo,Liquidambar styraciflua,sweetgum,LIST,BDL,8,3,7,10,10,7,3,2,,50
GulfCo,Magnolia grandiflora,southern magnolia,MAGR,BEM,1,6,9,11,9,3,,1,,40
GulfCo,Pinus taeda,loblolly pine,PITA,CEL,2,6,8,9,6,12,3,1,,47
GulfCo,Platanus occidentalis,American sycamore,PLOC,BDL,3,9,8,9,13,8,3,3,,56
GulfCo,Pyrus calleryana,Callery pear,PYCA,BDM,1,4,10,14,6,1,,,,36
GulfCo,Quercus laurifolia,laurel oak,QULA2,BDL,3,3,14,9,13,8,9,12,8,79
GulfCo,Quercus nigra,water oak,QUNI,BDL,2,6,12,9,9,18,9,3,,68
GulfCo,Quercus phellos,willow oak,QUPH,BDL,3,11,6,9,3,6,5,1,1,45
GulfCo,Quercus virginiana,live oak,QUVI,BEL,4,3,9,9,10,10,13,9,9,76
GulfCo,Sabal palmetto,cabbage palmetto,SAPA,PES,2,2,16,14,6,,,,,40
InlEmp,Brachychiton populneum,kurrajong,BRPO,BEM,3,6,14,10,3,1,,,,37
InlEmp,Cinnamomum camphora,camphor tree,CICA,BEL,3,2,13,16,12,4,4,3,,57
InlEmp,Eucalyptus sideroxylon,red ironbark,EUSI,BEL,,3,4,7,10,8,4,1,,37
InlEmp,Fraxinus uhdei,evergreen ash,FRUH,BDL,,1,5,6,8,5,8,2,2,37
InlEmp,Fraxinus velutina 'Modesto',Modesto ash,FRVE_G,BDM,5,,8,12,11,,,,,36
InlEmp,Ginkgo biloba,ginkgo,GIBI,BDL,2,4,13,8,7,3,,,,37
InlEmp,Jacaranda mimosifolia,jacaranda,JAMI,BDM,4,8,22,19,10,,,,,63
InlEmp,Lagerstroemia indica,common crapemyrtle,LAIN,BDS,11,16,28,6,,,,,,61
InlEmp,Liquidambar styraciflua,sweetgum,LIST,BDL,3,4,10,10,7,4,,,,38
InlEmp,Liriodendron tulipifera,tulip tree,LITU,BDL,3,3,11,7,6,5,2,,,37
InlEmp,Magnolia grandiflora,southern magnolia,MAGR,BEL,6,5,8,11,6,,1,,,37
InlEmp,Pinus brutia,Turkish pine; east Mediterranean pine,PIBR2,CEM,3,1,3,13,14,2,1,,,37
InlEmp,Pinus canariensis,Canary Island pine,PICA,CEL,4,1,8,7,10,9,,,,39
InlEmp,Pistacia chinensis,Chinese pistache,PICH,BDM,5,10,22,3,,,,,,40
InlEmp,Platanus racemosa,California sycamore,PLRA,BDL,2,3,6,10,6,5,5,,,37
InlEmp,Platanus x acerifolia,London planetree,PLAC,BDL,4,4,14,9,5,2,,,,38
InlEmp,Pyrus calleryana,Callery pear,PYCA,BDM,6,7,12,14,,,,,,39
InlEmp,Quercus agrifolia,coastal live oak; California live oak,QUAG,BEL,2,2,5,6,7,8,2,4,1,37
InlEmp,Quercus ilex,holly oak,QUIL2,BEL,2,1,10,7,6,7,2,,,35
InlEmp,Schinus molle,California peppertree,SCMO,BEM,4,2,7,2,6,6,4,3,3,37
InlEmp,Schinus terebinthifolius,Brazilian pepper,SCTE,BES,2,,7,16,8,3,,,,36
InlEmp,Washingtonia robusta,Mexican fan palm,WARO,PES,,1,6,12,15,2,,,,36
InlVal,Acer saccharinum,silver maple,ACSA1,BDL,4,2,2,4,4,4,4,4,1,29
InlVal,Betula pendula,European white birch,BEPE,BDM,1,7,15,5,1,,,,,29
InlVal,Celtis sinensis,Chinese hackberry,CESI4,BDL,1,,2,12,7,4,4,,,30
InlVal,Cinnamomum camphora,camphor tree,CICA,BEM,3,3,9,8,3,5,,,,31
InlVal,Fraxinus angustifolia 'Raywood',Raywood ash,FRAN_R,BDM,1,1,5,15,6,3,,,,31
InlVal,Fraxinus excelsior 'Hessei',Hesse ash,FREX_H,BDL,6,5,12,3,1,,,,,27
InlVal,Fraxinus holotricha,Moraine ash,FRHO,BDL,1,,,9,8,10,1,,,29
InlVal,Fraxinus pennsylvanica 'Marshall',Marshall ash,FRPE_M,BDM,1,1,19,7,,,,,,28
InlVal,Fraxinus velutina 'Modesto',Modesto ash,FRVE_G,BDL,1,,,4,15,7,1,,,28
InlVal,Ginkgo biloba,ginkgo,GIBI,BDL,3,4,8,10,7,,,,,32
InlVal,Gleditsia triacanthos,honeylocust,GLTR,BDL,1,,4,9,13,,,,,27
InlVal,Koelreuteria paniculata,goldenrain tree,KOPA,BDM,13,3,3,9,1,,,,,29
InlVal,Lagerstroemia indica,common crapemyrtle,LAIN,BDS,11,6,9,,,,,,,26
InlVal,Liquidambar styraciflua,sweetgum,LIST,BDL,1,1,8,15,4,1,,,,30
InlVal,Magnolia grandiflora,southern magnolia,MAGR,BEM,1,2,18,7,,1,,,,29
InlVal,Pinus thunbergiana,Japanese black pine,PITH,CEM,1,,6,19,,,,,,26
InlVal,Pistacia chinensis,Chinese pistache,PICH,BDM,3,3,12,8,4,,,,,30
