Region,Scientific Name,Common Name,SpCode,Tree Type,Avg dw/fw (g),dw/fw sd,Avg dw g/m2,dw g/m2 sd,n,Notes
CenFla,Acer rubrum,red maple,ACRU,BDM,0.46,0.04,102.75,12.28,10,
CenFla,Cinnamomum camphora,camphor tree,CICA,BEM,0.48,0.04,116.42,6.64,10,
CenFla,Eriobotrya japonica,loquat tree,ERJA,BES,0.41,0.06,162.48,26.87,10,
CenFla,Juniperus virginiana var. silicicola,southern redcedar,JUSI,CEM,0.5,0.03,405.68,48.08,10,
CenFla,Koelreuteria elegans,Chinese rain tree,KOELFO,BDM,0.49,0.04,68.35,12.55,10,
CenFla,Lagerstroemia indica,common crapemyrtle,LAIN,BDS,0.34,0.03,81.38,18.16,10,
CenFla,Liquidambar styraciflua,sweetgum,LIST,BDL,0.31,0.02,93.74,15.48,10,
CenFla,Magnolia grandiflora,southern magnolia,MAGR,BEL,0.35,0.03,144.87,22.25,10,
CenFla,Pinus elliottii,slash pine,PIEL,CEL,0.44,0.01,107.74,11.5,10,
CenFla,Platanus occidentalis,American sycamore,PLOC,BDL,0.38,0.04,74.6,13.45,10,
CenFla,Platycladus orientalis,Oriental arborvitae,THOR,CES,0.42,0.01,207.09,29.85,10,
CenFla,Prunus caroliniana,Carolina laurelcherry,PRCA,BES,0.45,0.05,118.66,19.2,10,
CenFla,Quercus laurifolia,laurel oak,QULA2,BDL,0.48,0.01,117.81,37.87,10,
CenFla,Quercus shumardii,Shumard oak,QUSH,BDL,0.5,0.02,110.12,16.49,10,
CenFla,Quercus virginiana,live oak,QUVI,BEL,0.49,0.04,135.18,51.85,10,
CenFla,Sabal palmetto,cabbage palmetto,SAPA,PEM,0.41,0.16,207.21,83.86,7,7 fronds collected
CenFla,Syagrus romanzoffiana,queen palm,SYRO,PEL,0.46,0.03,132.76,59.85,7,7 fronds collected
CenFla,Triadica sebifera,tallowtree,TRSE6,BDM,0.36,0.03,73.87,10.81,10,
CenFla,Ulmus parvifolia,Chinese elm,ULPA,BDM,0.42,0.04,130.78,37.3,10,
CenFla,Washingtonia robusta,Mexican fan palm,WARO,PES,0.42,0.07,149.5,18.68,4,4 fronds collected
GulfCo,Acer rubrum,red maple,ACRU,BDL,0.32,0.02,72.68,14.58,10,
GulfCo,Butia capitata,jelly palm,BUCA,PES,0.71,,331.74,,1,one frond sampled only
GulfCo,Carya illinoinensis,pecan,CAIL,BDL,0.45,0.03,104.35,16.85,10,
GulfCo,Celtis laevigata,sugarberry,CELA,BDL,0.33,0.04,58.41,11.16,10,
GulfCo,Cornus florida,flowering dogwood,COFL,BDS,0.39,0.03,78.34,21.27,10,
GulfCo,Gleditsia triacanthos,honeylocust,GLTR,BDL,0.4,0.03,159.31,142.22,10,
GulfCo,Ilex opaca,American holly,ILOP,BEM,0.52,0.02,206.95,13.51,10,
GulfCo,Juniperus virginiana,eastern red cedar,JUVI,CEM,0.45,0.02,357.56,46.51,10,
GulfCo,Lagerstroemia indica,common crapemyrtle,LAIN,BDS,0.3,0.03,78.58,13.71,10,
GulfCo,Liquidambar styraciflua,sweetgum,LIST,BDL,0.35,0.04,98.9,24.22,10,
GulfCo,Magnolia grandiflora,southern magnolia,MAGR,BEM,0.43,0.02,221.77,17.98,10,
GulfCo,Pinus taeda,loblolly pine,PITA,CEL,0.39,0.01,572.86,25.14,10,
GulfCo,Platanus occidentalis,American sycamore,PLOC,BDL,0.4,0.06,71.94,15.67,10,
GulfCo,Pyrus calleryana,Callery pear,PYCA,BDM,0.49,0.02,154.87,22.36,10,
GulfCo,Quercus laurifolia,laurel oak,QULA2,BDL,0.53,0.02,135.55,14.41,10,
GulfCo,Quercus nigra,water oak,QUNI,BDL,0.53,0.01,147.77,14.32,10,
GulfCo,Quercus phellos,willow oak,QUPH,BDL,0.5,0.03,100.79,10.68,10,
GulfCo,Quercus virginiana,live oak,QUVI,BEL,0.52,0.01,255.19,197.58,10,
GulfCo,Sabal palmetto,cabbage palmetto,SAPA,PEM,0.63,,303.42,,1,one frond sampled only
InlEmp,Brachychiton populneum ,kurrajong,BRPO,BEM,0.35,,122.79,,20,dry weights for each sample bag not weighed separately
InlEmp,Cinnamomum camphora,camphor tree,CICA,BEL,0.46,,176.12,,20,dry weights for each sample bag not weighed separately
