Region,Scientific Name,SpCode,Independent variable,Predicts component ,Units of predicted components,Model weight,EqName,a,b,c,d,e,Apps min,Apps max,Sigma,n,adj R2,Data min (from raw data),Data max (from raw data),DF
CenFla,Acer rubrum,ACRU,dbh,age,years,1/dbh,lin,1.51618,0.41447,,,,2,65,0.42975,54,0.876,2,48,52
CenFla,Acer rubrum,ACRU,cdia,dbh,meters,1,loglogw1,1.3118,3.00257,0.04744,,,2.34,96.61,0.21781,54,0.894,5.1,94.5,52
CenFla,Acer rubrum,ACRU,dbh,crown dia,meters,1/dbh,quad,0.72545,0.2537,-0.00123,,,1.31,13.75,0.04139,54,0.91,2.5,15.8,51
CenFla,Acer rubrum,ACRU,dbh,crown ht,meters,1/dbh,lin,2.73019,0.1214,,,,3.01,14.46,0.14542,54,0.641,1,17,52
CenFla,Acer rubrum,ACRU,age,dbh,centimeters,1/sqrt(age),quad,-3.6811,3.0548,-0.02326,,,2.34,96.61,22.67922,54,0.847,5.1,94.5,51
CenFla,Acer rubrum,ACRU,dbh,leaf area,sq. meters,1/dbh,quad,-8.35263,4.42208,0.03036,,,2.14,702.22,278.91729,54,0.748,10.3,825.5,51
CenFla,Acer rubrum,ACRU,dbh,tree ht,meters,1/sqrt(dbh),quad,2.15761,0.29592,-0.00158,,,2.84,16.03,0.78841,54,0.762,2.5,21.5,51
CenFla,Cinnamomum camphora,CICA,dbh,age,years,1/dbh,lin,1.69357,0.40906,,,,1,95,0.78467,58,0.878,1,72,56
CenFla,Cinnamomum camphora,CICA,cdia,dbh,meters,1,loglogw1,1.55478,2.73094,0.10762,,,1.96,150.7,0.32806,63,0.842,4.8,150.6,61
CenFla,Cinnamomum camphora,CICA,dbh,crown dia,meters,1/dbh,quad,0.64978,0.2614,-0.00095,,,1.16,18.72,0.11378,63,0.878,1.5,23.8,60
CenFla,Cinnamomum camphora,CICA,dbh,crown ht,meters,1/sqrt(dbh),cub,1.01405,0.26806,-0.00275,0.00001,,1.53,13.59,0.74377,63,0.633,1,16,59
CenFla,Cinnamomum camphora,CICA,age,dbh,centimeters,1/age,quad,-0.87708,2.85059,-0.01321,,,1.96,150.7,8.4086,58,0.9,4.8,150.6,55
CenFla,Cinnamomum camphora,CICA,dbh,leaf area,sq. meters,1,loglogw1,-2.82649,6.13761,0.38432,,,0.27,1438.7,0.61993,57,0.803,1.3,1679.4,55
CenFla,Cinnamomum camphora,CICA,dbh,tree ht,meters,1,cub,2.53889,0.34177,-0.00365,0.00001,,3.19,18.22,7.71877,63,0.536,2,18.5,59
CenFla,Eriobotrya japonica,ERJA,dbh,age,years,1/dbh,lin,2.45205,0.38214,,,,1,30,0.66744,30,0.637,2,23,28
CenFla,Eriobotrya japonica,ERJA,cdia,dbh,meters,1,loglogw1,1.5042,2.39219,0.06057,,,3.5,54.87,0.24612,30,0.892,1.5,43,28
CenFla,Eriobotrya japonica,ERJA,dbh,crown dia,meters,1/dbh,lin,0.83558,0.22941,,,,1.23,13.42,0.04597,30,0.903,1,10,28
CenFla,Eriobotrya japonica,ERJA,dbh,crown ht,meters,1/dbh,lin,0.47577,0.14851,,,,0.73,8.63,0.05376,30,0.768,0.5,9,28
CenFla,Eriobotrya japonica,ERJA,age,dbh,centimeters,1/age,lin,1.72609,1.77157,,,,1.73,54.87,5.60377,30,0.609,1.5,43,28
CenFla,Eriobotrya japonica,ERJA,dbh,leaf area,sq. meters,1,loglogw1,-3.07252,6.13881,0.22352,,,0.88,281.8,0.47278,26,0.941,0.1,206.2,24
CenFla,Eriobotrya japonica,ERJA,dbh,tree ht,meters,1/dbh,quad,1.15555,0.28024,-0.00266,,,1.63,8.54,0.05599,30,0.838,1.5,11,27
CenFla,Juniperus virginiana var. silicicola,JUSI,dbh,age,years,1,loglogw1,-0.28355,2.65266,0.08125,,,2,44,0.28504,48,0.857,2,94,46
CenFla,Juniperus virginiana var. silicicola,JUSI,cdia,dbh,meters,1/cdia^2,quad,0.97463,3.30955,0.23423,,,2.71,80.53,3.03215,50,0.865,2.8,100.1,47
CenFla,Juniperus virginiana var. silicicola,JUSI,dbh,crown dia,meters,1/sqrt(dbh),quad,0.46627,0.25589,-0.00147,,,0.73,11.56,0.29839,50,0.884,0.5,14.5,47
CenFla,Juniperus virginiana var. silicicola,JUSI,dbh,crown ht,meters,1,quad,1.54184,0.18679,-0.00117,,,1.73,9.01,2.57001,50,0.647,1,12.5,47
CenFla,Juniperus virginiana var. silicicola,JUSI,age,dbh,centimeters,1/age,cub,-0.6109,1.63311,0.0145,-0.00022,,1.04,80.53,3.59068,48,0.905,2.8,100.1,44
CenFla,Juniperus virginiana var. silicicola,JUSI,dbh,leaf area,sq. meters,1,loglogw1,-2.58187,5.7126,0.33825,,,0.71,422.63,0.58159,46,0.856,0.1,849.8,44
CenFla,Juniperus virginiana var. silicicola,JUSI,dbh,tree ht,meters,1/sqrt(dbh),quad,1.94014,0.25408,-0.00159,,,2.2,12.1,0.50324,50,0.792,1.5,15,47
CenFla,Koelreuteria elegans,KOELFO,dbh,age,years,1/dbh^2,quad,2.22523,0.25901,0.00364,,,0,46,0.0231,40,0.801,3,50,37
CenFla,Koelreuteria elegans,KOELFO,cdia,dbh,meters,1,loglogw1,1.08173,2.98561,0.06491,,,1.55,63.37,0.25478,41,0.867,4.8,69.6,39
CenFla,Koelreuteria elegans,KOELFO,dbh,crown dia,meters,1/dbh,lin,1.91565,0.19718,,,,2.22,14.41,0.07759,41,0.874,2.3,17.8,39
CenFla,Koelreuteria elegans,KOELFO,dbh,crown ht,meters,1,lin,2.28049,0.10226,,,,2.44,8.76,1.89243,41,0.652,1.5,11,39
CenFla,Koelreuteria elegans,KOELFO,age,dbh,centimeters,1,quad,1.54502,2.71251,-0.02975,,,1.55,63.37,66.09838,40,0.804,4.8,69.6,37
CenFla,Koelreuteria elegans,KOELFO,dbh,leaf area,sq. meters,1/dbh^2,quad,6.4534,0.20579,0.10299,,,7.02,433.08,5.01046,39,0.756,1.2,813.4,36
CenFla,Koelreuteria elegans,KOELFO,dbh,tree ht,meters,1,lin,4.44294,0.11553,,,,4.62,11.76,2.9371,41,0.606,3,13.5,39
CenFla,Lagerstroemia indica,LAIN,dbh,age,years,1/dbh,lin,2.13037,0.34447,,,,0,30,0.42746,34,0.726,3,30,32
CenFla,Lagerstroemia indica,LAIN,cdia,dbh,meters,1/sqrt(cdia),lin,2.08409,5.16307,,,,5.71,64.39,47.92546,35,0.582,4.1,60.7,33
CenFla,Lagerstroemia indica,LAIN,dbh,crown dia,meters,1/sqrt(dbh),lin,1.84312,0.11695,,,,2.51,9.37,0.47249,35,0.596,1.5,9.5,33
CenFla,Lagerstroemia indica,LAIN,dbh,crown ht,meters,1/sqrt(dbh),lin,1.28193,0.07279,,,,1.7,5.97,0.39619,35,0.4,0.5,8.5,33
CenFla,Lagerstroemia indica,LAIN,age,dbh,centimeters,1,lin,5.70526,1.95628,,,,5.71,64.39,65.59925,34,0.714,4.1,60.7,32
CenFla,Lagerstroemia indica,LAIN,dbh,leaf area,sq. meters,1,loglogw1,-2.64729,5.23174,1.00334,,,6.98,227.96,1.00167,34,0.586,0.9,291.6,32
CenFla,Lagerstroemia indica,LAIN,dbh,tree ht,meters,1/sqrt(dbh),lin,2.40476,0.10047,,,,2.98,8.87,0.70561,35,0.417,1.5,13.5,33
CenFla,Liquidambar styraciflua,LIST,dbh,age,years,1/dbh^2,cub,0.83572,0.50777,-0.00382,0.00007,,2,70,0.01046,48,0.945,3,59,44
CenFla,Liquidambar styraciflua,LIST,cdia,dbh,meters,1,loglogw1,1.6463,2.49347,0.03465,,,2.8,99.73,0.18615,48,0.942,2.3,93.2,46
CenFla,Liquidambar styraciflua,LIST,dbh,crown dia,meters,1/dbh^2,quad,0.45464,0.24185,-0.00054,,,0.67,19.14,0.00142,48,0.955,1,21.5,45
CenFla,Liquidambar styraciflua,LIST,dbh,crown ht,meters,1/dbh,quad,1.11401,0.30842,-0.00196,,,1.38,13.26,0.13414,48,0.819,2,19,45
CenFla,Liquidambar styraciflua,LIST,age,dbh,centimeters,1,loglogw1,0.76105,2.6362,0.03839,,,0.88,99,0.19595,48,0.936,2.3,93.2,46
CenFla,Liquidambar styraciflua,LIST,dbh,leaf area,sq. meters,1,loglogw1,-2.1608,5.76918,0.28756,,,1.18,903.14,0.53625,48,0.878,0.5,1778.8,46
CenFla,Liquidambar styraciflua,LIST,dbh,tree ht,meters,1,loglogw1,0.19747,1.82322,0.04927,,,0.56,19.92,0.22196,48,0.806,2.5,25,46
CenFla,Magnolia grandiflora,MAGR,dbh,age,years,1/dbh^2,lin,0.94672,0.49478,,,,2,70,0.0134,51,0.897,3,71,49
CenFla,Magnolia grandiflora,MAGR,cdia,dbh,meters,1,loglogw1,2.07021,2.11624,0.0653,,,3.04,105.47,0.25554,51,0.896,6.6,104.9,49
