Equation Species,DBH lower (cm),DBH upper (cm),Equation,Predicts,DW Density,Equation Source
Acacia longifolia,15,57, =0.0000904*dbhcm^2.18649*htm^0.46736,Volume,510,"Pillsbury, Reimer, and Thompson 1998"
Acacia longifolia,15,57, =0.000154*dbhcm^2.34725,Volume,510,"Pillsbury, Reimer, and Thompson 1998"
Acer platanoides,10,102, =0.001011*dbhcm^1.533*htm^0.657,Volume,520,McHale 2007
Acer platanoides,10,102, =0.0019421*dbhcm^1.785,Volume,520,McHale 2007
Acer saccharinum,13,135, =0.0002383*dbhcm^1.998*htm^0.596,Volume,440,McHale 2007
Acer saccharinum,13,135, =0.000363*dbhcm^2.292,Volume,440,McHale 2007
Celtis occidentalis,11,119, =0.0022451*dbhcm^2.118*htm^-0.447,Volume,490,McHale 2007
Celtis occidentalis,11,119, =0.0014159*dbhcm^1.928,Volume,490,McHale 2007
Ceratonia siliqua,16,74, =0.0001368*dbhcm^1.79584*htm^0.92667,Volume,520,"Pillsbury, Reimer, and Thompson 1998"
Ceratonia siliqua,16,74, =0.0002579*dbhcm^2.128861,Volume,520,"Pillsbury, Reimer, and Thompson 1998"
Cinnamomum camphora,13,69, =0.0000807*dbhcm^2.1348*htm^0.63404,Volume,520,"Pillsbury, Reimer, and Thompson 1998"
Cinnamomum camphora,13,69, =0.0000839*dbhcm^2.53466,Volume,520,"Pillsbury, Reimer, and Thompson 1998"
Cupressus macrocarpa,16,147, =0.0000419*dbhcm^2.2604*htm^0.6301,Volume,410,"Pillsbury, Reimer, and Thompson 1998"
Cupressus macrocarpa,16,147, =0.0000985*dbhcm^2.495263,Volume,410,"Pillsbury, Reimer, and Thompson 1998"
Eucalyptus globulus,116,130, =0.0000318*dbhcm^2.15182*htm^0.83573,Volume,620,"Pillsbury, Reimer, and Thompson 1998"
Eucalyptus globulus,116,130, =0.000161*dbhcm^2.43697,Volume,620,"Pillsbury, Reimer, and Thompson 1998"
Fraxinus pennsylvanica,15,123, =0.0004143*dbhcm^1.847*htm^0.646,Volume,530,McHale 2007
Fraxinus pennsylvanica,15,123, =0.0005885*dbhcm^2.206,Volume,530,McHale 2007
Fraxinus velutina 'Modesto',15,85, =0.0000385*dbhcm^1.76296*htm^1.42782,Volume,510,"Pillsbury, Reimer, and Thompson 1998"
Fraxinus velutina 'Modesto',15,85, =0.000054*dbhcm^2.633462,Volume,510,"Pillsbury, Reimer, and Thompson 1998"
Gleditsia triacanthos,9,98, =0.0004891*dbhcm^2.132*htm^0.142,Volume,600,McHale 2007
Gleditsia triacanthos,9,98, =0.0005055*dbhcm^2.22,Volume,600,McHale 2007
Gymnocladus dioicus,10,37, =0.000463*dbhcm^1.545*htmet^0.792,Volume,530,McHale 2007
Gymnocladus dioicus,10,37, =0.0004159*dbhcm^2.059,Volume,530,McHale 2007
Jacaranda mimosifolia,17,60, =0.0000801*dbhcm^2.18578*htm^0.548045,Volume,490,"Pillsbury, Reimer, and Thompson 1998"
Jacaranda mimosifolia,17,60, =0.0001005*dbhcm^2.486248,Volume,490,"Pillsbury, Reimer, and Thompson 1998"
Liquidambar styraciflua,14,54, =0.0000631*dbhcm^2.31582*htm^0.41571,Volume,460,"Pillsbury, Reimer, and Thompson 1998"
Liquidambar styraciflua,14,54, =0.0000799*dbhcm^2.560469,Volume,460,"Pillsbury, Reimer, and Thompson 1998"
Magnolia grandiflora,15,74, =0.0000504*dbhcm^2.07041*htm^0.84563,Volume,460,"Pillsbury, Reimer, and Thompson 1998"
Magnolia grandiflora,15,74, =0.0000559*dbhcm^2.622015,Volume,460,"Pillsbury, Reimer, and Thompson 1998"
Pinus radiata,17,105, =0.0000419*dbhcm^2.226808*htm^0.668993,Volume,400,"Pillsbury, Reimer, and Thompson 1998"
Pinus radiata,17,105, =0.0000469*dbhcm^2.666079,Volume,400,"Pillsbury, Reimer, and Thompson 1998"
Pistacia chinensis,13,51, =0.0000329*dbhcm^2.19157*htm^0.94367,Volume,685,"Pillsbury, Reimer, and Thompson 1998"
Pistacia chinensis,13,51, =0.0000392*dbhcm^2.808625,Volume,685,"Pillsbury, Reimer, and Thompson 1998"
Platanus hybrida,16,74, =0.0000485*dbhcm^2.43642*htm^0.39168,Volume,500,"Pillsbury, Reimer, and Thompson 1998"
Platanus hybrida,16,74, =0.000059*dbhcm^2.673578,Volume,500,"Pillsbury, Reimer, and Thompson 1998"
Populus sargentii,6,137, =0.0019055*dbhcm^1.806*htm^0.134,Volume,370,McHale 2007
Populus sargentii,6,137, =0.0020891*dbhcm^1.873,Volume,370,McHale 2007
Quercus ilex,13,52, =0.0000789*dbhcm^1.82158*htm^1.06269,Volume,820,"Pillsbury, Reimer, and Thompson 1998"
Quercus ilex,13,52, =0.0000627*dbhcm^2.607285,Volume,820,"Pillsbury, Reimer, and Thompson 1998"
Quercus macrocarpa,11,100, =0.0001689*dbhcm^1.956*htm^0.842,Volume,580,McHale 2007
Quercus macrocarpa,11,100, =0.0002431*dbhcm^2.415,Volume,580,McHale 2007
Tilia cordata,11,65, =0.0009453*dbhcm^1.617*htm^0.59,Volume,420,McHale 2007
Tilia cordata,11,65, =0.0009359*dbhcm^2.042,Volume,420,McHale 2007
Ulmus americana,18,114, =0.0012*dbhcm^1.696*htm^0.405,Volume,460,McHale 2007
Ulmus americana,18,114, =0.0018*dbhcm^1.869,Volume,460,McHale 2007
Ulmus parvifolia,17,56, =0.0000609*dbhcm^2.32481*htm^0.49317,Volume,730,"Pillsbury, Reimer, and Thompson 1998"
Ulmus parvifolia,17,56, =0.000069*dbhcm^2.639347,Volume,730,"Pillsbury, Reimer, and Thompson 1998"
Ulmus pumila,16,132, =0.000338*dbhcm^0.855*htm^2.041,Volume,540,McHale 2007
Ulmus pumila,16,132, =0.0048879*dbhcm^1.613,Volume,540,McHale 2007
Urb Gen Broadleaf,6,135, =0.0001967*dbhcm^1.951853*htm^0.664255,Volume,"look up in Jenkins first, then DRYAD (Global Wood Density Database)",Aguaron and McPherson 2012
Urb Gen Broadleaf,6,135, =0.0002835*dbhcm^2.310647,Volume,"look up in Jenkins first, then DRYAD (Global Wood Density Database)",Aguaron and McPherson 2012
Urb Gen Conifer,16,147, =0.0000426*dbhcm^2.24358*htm^0.64956,Volume,"look up in Jenkins first, then DRYAD (Global Wood Density Database)",Aguaron and McPherson 2012
Urb Gen Conifer,16,147, =0.0000698*dbhcm^2.578027,Volume,"look up in Jenkins first, then DRYAD (Global Wood Density Database)",Aguaron and McPherson 2012
Zelkova serrata,15,86, =0.0000401*dbhcm^2.36318*htm^0.5519,Volume,520,"Pillsbury, Reimer, and Thompson 1998"
Zelkova serrata,15,86, =0.0000502*dbhcm^2.674757,Volume,520,"Pillsbury, Reimer, and Thompson 1998"
