Region,Scientific Name,SpCode,Independent variable,Predicts component ,Units of predicted components,Model weight,EqName,a,b,c,d,e,Apps min,Apps max,Sigma,n,adj R2,Data min (from raw data),Data max (from raw data),DF
PacfNW,Acer macrophyllum,ACMA,dbh,age,years,1/dbh,quad,0.57316,0.51132,0.00191,,,1.0,150.0,0.63305,40.0,0.976,1.0,150.0,37.0
PacfNW,Acer macrophyllum,ACMA,cdia,dbh,meters,1/cdia^2,cub,0.2992,1.76512,0.55846,-0.01836,,1.75,174.33,1.86099,40.0,0.925,1.3,174.0,36.0
PacfNW,Acer macrophyllum,ACMA,dbh,crown dia,meters,1/dbh,quad,0.39369,0.24616,-0.00081,,,0.82,19.1,0.05823,40.0,0.963,0.4,21.6,37.0
PacfNW,Acer macrophyllum,ACMA,dbh,crown ht,meters,1,loglogw1,0.28858,1.74158,0.03472,,,1.4,23.44,0.18633,40.0,0.956,1.0,27.0,38.0
PacfNW,Acer macrophyllum,ACMA,age,dbh,centimeters,1/sqrt(age),cub,-0.21317,1.97429,-0.01051,3e-05,,1.75,174.33,9.62084,40.0,0.976,1.3,174.0,36.0
PacfNW,Acer macrophyllum,ACMA,dbh,leaf area,sq. meters,1,loglogw1,-1.54932,5.67086,0.32352,,,0.53,2764.92,0.56879,35.0,0.965,0.0,2256.2,33.0
PacfNW,Acer macrophyllum,ACMA,dbh,tree ht,meters,1,loglogw1,0.85132,1.48977,0.02171,,,2.42,27.14,0.14735,40.0,0.963,1.5,30.5,38.0
PacfNW,Acer platanoides,ACPL,dbh,age,years,1/dbh^2,cub,0.69436,0.34048,0.00733,-4e-05,,1.0,94.0,0.01115,74.0,0.967,1.0,81.0,70.0
PacfNW,Acer platanoides,ACPL,cdia,dbh,meters,1/cdia^2,cub,0.75329,1.40261,0.35382,-0.00942,,1.56,100.0,0.76623,74.0,0.955,1.1,129.4,70.0
PacfNW,Acer platanoides,ACPL,dbh,crown dia,meters,1/dbh,cub,0.0926,0.36724,-0.00266,1e-05,,0.66,23.43,0.00357,74.0,0.969,0.3,23.5,70.0
PacfNW,Acer platanoides,ACPL,dbh,crown ht,meters,1/dbh,quad,1.83357,0.23724,-0.00089,,,2.2,17.59,0.07359,74.0,0.94,2.0,21.0,71.0
PacfNW,Acer platanoides,ACPL,age,dbh,centimeters,1/age,cub,-0.85211,2.4427,-0.02993,0.00022,,1.56,146.78,1.40413,74.0,0.977,1.1,129.4,70.0
PacfNW,Acer platanoides,ACPL,dbh,leaf area,sq. meters,1,loglogw1,-0.65552,5.15935,0.25353,,,0.73,2251.37,0.50352,63.0,0.944,0.1,2387.2,61.0
PacfNW,Acer platanoides,ACPL,dbh,tree ht,meters,1/sqrt(dbh),quad,2.56416,0.3118,-0.00127,,,3.05,21.68,0.50194,74.0,0.942,2.0,26.0,71.0
PacfNW,Acer rubrum,ACRU,dbh,age,years,1/dbh,quad,0.19481,0.65916,-0.00084,,,1.0,60.0,0.10634,39.0,0.987,1.0,53.0,36.0
PacfNW,Acer rubrum,ACRU,cdia,dbh,meters,1/cdia^2,cub,0.64872,1.37806,0.27303,-0.00666,,2.94,96.47,0.38008,39.0,0.957,1.2,95.0,35.0
PacfNW,Acer rubrum,ACRU,dbh,crown dia,meters,1/dbh,cub,0.16933,0.43289,-0.00526,3e-05,,0.73,21.87,0.00211,39.0,0.969,0.4,22.1,35.0
PacfNW,Acer rubrum,ACRU,dbh,crown ht,meters,1/dbh,cub,0.57374,0.52078,-0.00953,7e-05,,1.25,21.88,0.05749,39.0,0.952,1.0,21.0,35.0
PacfNW,Acer rubrum,ACRU,age,dbh,centimeters,1/age,lin,-0.28784,1.61264,,,,1.32,96.47,0.47538,39.0,0.986,1.2,95.0,37.0
PacfNW,Acer rubrum,ACRU,dbh,leaf area,sq. meters,1,loglogw1,-0.4824,4.97236,0.24582,,,0.52,1360.01,0.4958,38.0,0.951,0.1,1129.7,36.0
PacfNW,Acer rubrum,ACRU,dbh,tree ht,meters,1/dbh,cub,1.95274,0.61834,-0.01179,8e-05,,2.75,27.55,0.06121,39.0,0.961,2.5,27.0,35.0
PacfNW,Acer saccharum,ACSA2,dbh,age,years,1/dbh,quad,0.35741,0.33851,0.00463,,,0.0,73.0,0.40512,37.0,0.983,1.0,74.0,34.0
PacfNW,Acer saccharum,ACSA2,cdia,dbh,meters,1/cdia^2,cub,0.33495,3.17841,0.28395,-0.0112,,3.14,91.77,0.49783,37.0,0.971,1.3,97.9,33.0
PacfNW,Acer saccharum,ACSA2,dbh,crown dia,meters,1/dbh^2,quad,-0.04297,0.26749,-0.00063,,,0.35,19.18,0.00105,37.0,0.974,0.3,21.6,34.0
PacfNW,Acer saccharum,ACSA2,dbh,crown ht,meters,1/dbh,quad,1.2475,0.32945,-0.00126,,,1.73,20.85,0.10449,37.0,0.957,1.5,25.0,34.0
PacfNW,Acer saccharum,ACSA2,age,dbh,centimeters,1/sqrt(age),cub,1.47953,1.65885,0.00513,-0.00015,,1.48,91.77,3.00231,37.0,0.99,1.3,97.9,33.0
PacfNW,Acer saccharum,ACSA2,dbh,leaf area,sq. meters,1/dbh,loglogw3,-1.68905,5.95471,0.00136,,,1.5,1586.68,0.03688,32.0,0.998,0.1,2159.1,30.0
PacfNW,Acer saccharum,ACSA2,dbh,tree ht,meters,1/dbh,cub,1.10482,0.62678,-0.0077,4e-05,,2.02,25.88,0.54725,37.0,0.968,1.5,30.5,33.0
PacfNW,Betula pendula,BEPE,dbh,age,years,1/dbh^2,quad,0.39331,0.52785,0.00437,,,1.0,47.0,0.01709,41.0,0.955,1.0,46.0,38.0
PacfNW,Betula pendula,BEPE,cdia,dbh,meters,1/cdia^2,cub,0.82226,0.2215,0.8505,-0.04466,,3.23,48.32,0.32985,41.0,0.971,1.2,58.5,37.0
PacfNW,Betula pendula,BEPE,dbh,crown dia,meters,1/dbh,cub,0.35044,0.37618,-0.00631,7e-05,,0.79,11.19,0.00164,41.0,0.96,0.6,13.9,37.0
PacfNW,Betula pendula,BEPE,dbh,crown ht,meters,1/dbh,quad,1.14308,0.53014,-0.00455,,,1.76,16.14,0.12264,41.0,0.947,1.5,20.0,38.0
PacfNW,Betula pendula,BEPE,age,dbh,centimeters,1/age,quad,-0.91466,2.11608,-0.02273,,,1.18,48.32,0.8507,41.0,0.969,1.2,58.5,38.0
PacfNW,Betula pendula,BEPE,dbh,leaf area,sq. meters,1/dbh^2,quad,-0.05315,0.15892,0.2975,,,0.55,702.25,7.51625,41.0,0.934,0.1,1198.1,38.0
PacfNW,Betula pendula,BEPE,dbh,tree ht,meters,1/dbh,quad,1.42669,0.70065,-0.00668,,,2.24,19.68,0.14186,41.0,0.96,2.0,23.0,38.0
PacfNW,Carpinus betulus 'Fastigiata',CABEF,dbh,age,years,1,cub,-0.97624,1.02991,-0.01942,0.00016,,2.0,34.0,1.41721,39.0,0.963,1.0,23.0,35.0
PacfNW,Carpinus betulus 'Fastigiata',CABEF,cdia,dbh,meters,1,loglogw1,2.31114,1.4967,0.03034,,,3.0,38.0,0.00092,39.0,0.972,0.8,51.6,37.0
PacfNW,Carpinus betulus 'Fastigiata',CABEF,dbh,crown dia,meters,1/dbh^2,cub,0.124,0.11118,0.00861,-0.00015,,0.53,9.26,0.0,39.0,0.972,0.2,10.2,35.0
PacfNW,Carpinus betulus 'Fastigiata',CABEF,dbh,crown ht,meters,1,loglogw1,0.21394,1.66187,0.02607,,,2.17,12.31,0.16147,39.0,0.957,0.5,13.0,37.0
PacfNW,Carpinus betulus 'Fastigiata',CABEF,age,dbh,centimeters,1/age,cub,-0.99936,2.16074,-0.08853,0.00412,,3.0,51.96,0.73563,39.0,0.97,0.8,51.6,35.0
PacfNW,Carpinus betulus 'Fastigiata',CABEF,dbh,leaf area,sq. meters,1,loglogw1,-3.09187,6.99008,0.17664,,,0.69,811.38,0.42029,37.0,0.96,0.1,562.5,35.0
