,OBJECTNUMMER,Soortnaam_NL,Boomnummer,Soortnaam_WTS,Boomtype,Boomhoogte,Plantjaar,Eigenaar,Beheerder,Categorie,SOORT_KORT,SDVIEW,RADIUS,WKT_LNG_LAT,WKT_LAT_LNG,LNG,LAT,Unnamed: 17
11665,11666,Witte paardenkastanje,592133,Aesculus hippocastanum,Boom niet vrij uitgroeiend,Onbekend,1996,Gemeente Amsterdam,Stadsdeel Zuid,Aesculus,Aesculus,K,1,POINT(4.896369 52.355025),POINT(52.355025 4.896369),4.896369,52.355025,
11667,11668,Rode paardenkastanje (cultuurvariëteit),592131,Aesculus carnea `Plantierensis`,Boom niet vrij uitgroeiend,Onbekend,1996,Gemeente Amsterdam,Stadsdeel Zuid,Aesculus,Aesculus,K,1,POINT(4.895358 52.353562),POINT(52.353562 4.895358),4.895358,52.353562,
21793,21794,Veldesdoorn,582473,Acer campestre,Boom vrij uitgroeiend,Onbekend,1990,Gemeente Amsterdam,Stadsdeel Zuid,Acer,Acer,K,1,POINT(4.8972 52.354215),POINT(52.354215 4.8972),4.8972,52.354215,
22942,22943,Witte paardenkastanje (cultuurvariëteit),583439,Aesculus hippocastanum `Pyramidalis`,Boom niet vrij uitgroeiend,Onbekend,1994,Gemeente Amsterdam,Stadsdeel Zuid,Aesculus,Aesculus,K,1,POINT(4.896826 52.355121),POINT(52.355121 4.896826),4.896826,52.355121,
23041,23042,Tamme kastanje,583421,Castanea sativa,Boom niet vrij uitgroeiend,6 tot 9 m.,2003,Gemeente Amsterdam,Stadsdeel Zuid,Overig,Castanea,K,2,POINT(4.894796 52.354667),POINT(52.354667 4.894796),4.894796,52.354667,
23042,23043,Eenstijlige meidoorn (cultuurvariëteit),583419,Crataegus monogyna `Stricta`,Boom vrij uitgroeiend,tot 6 m.,2007,Gemeente Amsterdam,Stadsdeel Zuid,Crataegus,Crataegus,K,1,POINT(4.894154 52.354198),POINT(52.354198 4.894154),4.894154,52.354198,
24784,24785,Gewone esdoorn,581610,Acer pseudoplatanus,Boom niet vrij uitgroeiend,Onbekend,1992,Gemeente Amsterdam,Stadsdeel Zuid,Acer,Acer,K,1,POINT(4.8971 52.355134),POINT(52.355134 4.8971),4.8971,52.355134,
24785,24786,Zwarte els,581608,Alnus glutinosa,Boom niet vrij uitgroeiend,6 tot 9 m.,1980,Gemeente Amsterdam,Stadsdeel Zuid,Alnus,Alnus,K,2,POINT(4.895904 52.354103),POINT(52.354103 4.895904),4.895904,52.354103,
24786,24787,Kraakwilg,581607,Salix fragilis,Boom vrij uitgroeiend,9 tot 12 m.,1970,Gemeente Amsterdam,Stadsdeel Zuid,Salix,Salix,K,3,POINT(4.897791 52.355041),POINT(52.355041 4.897791),4.897791,52.355041,
24787,24788,Zwarte els,581606,Alnus glutinosa,Boom vrij uitgroeiend,6 tot 9 m.,2000,Gemeente Amsterdam,Stadsdeel Zuid,Alnus,Alnus,K,2,POINT(4.897057 52.354538),POINT(52.354538 4.897057),4.897057,52.354538,
25479,25480,Krimlinde,578559,Tilia europaea `Euchlora`,Boom niet vrij uitgroeiend,tot 6 m.,2004,Gemeente Amsterdam,Stadsdeel Zuid,Tilia,Tilia,K,1,POINT(4.895158 52.354195),POINT(52.354195 4.895158),4.895158,52.354195,
25480,25481,Tulpenboom (cultuurvariëteit),578558,Liriodendron tulipifera `Aureomarginatum`,Boom niet vrij uitgroeiend,6 tot 9 m.,2004,Gemeente Amsterdam,Stadsdeel Zuid,Overig,Liriodendron,K,2,POINT(4.895727 52.353767),POINT(52.353767 4.895727),4.895727,52.353767,
25608,25609,Witte paardenkastanje (cultuurvariëteit),578264,Aesculus hippocastanum `Pyramidalis`,Boom niet vrij uitgroeiend,12 tot 15 m.,1975,Gemeente Amsterdam,Stadsdeel Zuid,Aesculus,Aesculus,K,4,POINT(4.897186 52.355183),POINT(52.355183 4.897186),4.897186,52.355183,
25609,25610,Witte paardenkastanje (cultuurvariëteit),578263,Aesculus hippocastanum `Pyramidalis`,Boom niet vrij uitgroeiend,tot 6 m.,2006,Gemeente Amsterdam,Stadsdeel Zuid,Aesculus,Aesculus,K,1,POINT(4.895993 52.354938),POINT(52.354938 4.895993),4.895993,52.354938,
25610,25611,Smalbladige es (cultuurvariëteit),578262,Fraxinus angustifolia `Raywood`,Boom niet vrij uitgroeiend,6 tot 9 m.,2003,Gemeente Amsterdam,Stadsdeel Zuid,Fraxinus,Fraxinus,K,2,POINT(4.894971 52.35441),POINT(52.35441 4.894971),4.894971,52.35441,
25611,25612,Smalbladige es (cultuurvariëteit),578261,Fraxinus angustifolia `Raywood`,Boom niet vrij uitgroeiend,6 tot 9 m.,2003,Gemeente Amsterdam,Stadsdeel Zuid,Fraxinus,Fraxinus,K,2,POINT(4.894883 52.354418),POINT(52.354418 4.894883),4.894883,52.354418,
25709,25710,Tamme kastanje,578236,Castanea sativa,Boom niet vrij uitgroeiend,6 tot 9 m.,2003,Gemeente Amsterdam,Stadsdeel Zuid,Overig,Castanea,K,2,POINT(4.894215 52.354539),POINT(52.354539 4.894215),4.894215,52.354539,
25710,25711,Eenstijlige meidoorn,578235,Crataegus monogyna,Boom vrij uitgroeiend,6 tot 9 m.,2007,Gemeente Amsterdam,Stadsdeel Zuid,Crataegus,Crataegus,K,2,POINT(4.894112 52.354268),POINT(52.354268 4.894112),4.894112,52.354268,
38126,38127,Peer (cultuurvariëteit),567021,Pyrus communis caucasica,Boom niet vrij uitgroeiend,6 tot 12 m.,1997,Gemeente Amsterdam,Stadsdeel Zuid,Overig,Pyrus,K,3,POINT(4.893151 52.3541),POINT(52.3541 4.893151),4.893151,52.3541,
39690,39691,Gewone esdoorn,564513,Acer pseudoplatanus,Boom niet vrij uitgroeiend,12 tot 18 m.,1967,Gemeente Amsterdam,Stadsdeel Zuid,Acer,Acer,K,5,POINT(4.89299 52.354078),POINT(52.354078 4.89299),4.89299,52.354078,
39733,39734,Fladderiep,564763,Ulmus laevis,Boom niet vrij uitgroeiend,9 tot 12 m.,1996,Gemeente Amsterdam,Stadsdeel Zuid,Ulmus,Ulmus,K,3,POINT(4.895024 52.354159),POINT(52.354159 4.895024),4.895024,52.354159,
39734,39735,Eenstijlige meidoorn,564762,Crataegus monogyna,Boom vrij uitgroeiend,6 tot 9 m.,1999,Gemeente Amsterdam,Stadsdeel Zuid,Crataegus,Crataegus,K,2,POINT(4.894404 52.354074),POINT(52.354074 4.894404),4.894404,52.354074,
39875,39876,Pruim,564467,Prunus domestica,Boom niet vrij uitgroeiend,Onbekend,1982,Gemeente Amsterdam,Stadsdeel Zuid,Prunus,Prunus,K,1,POINT(4.896348 52.354624),POINT(52.354624 4.896348),4.896348,52.354624,
65777,65778,Rode paardenkastanje (cultuurvariëteit),533126,Aesculus carnea `Plantierensis`,Boom niet vrij uitgroeiend,6 tot 9 m.,1996,Gemeente Amsterdam,Stadsdeel Zuid,Aesculus,Aesculus,K,2,POINT(4.895494 52.353594),POINT(52.353594 4.895494),4.895494,52.353594,
65798,65799,Gewone beuk,532864,Fagus sylvatica,Boom vrij uitgroeiend,Onbekend,1996,Gemeente Amsterdam,Stadsdeel Zuid,Overig,Fagus,K,1,POINT(4.894317 52.354061),POINT(52.354061 4.894317),4.894317,52.354061,
65854,65855,Witte paardenkastanje,532854,Aesculus hippocastanum,Boom niet vrij uitgroeiend,6 tot 9 m.,1996,Gemeente Amsterdam,Stadsdeel Zuid,Aesculus,Aesculus,K,2,POINT(4.894425 52.353635),POINT(52.353635 4.894425),4.894425,52.353635,
65856,65857,Witte paardenkastanje,532852,Aesculus hippocastanum,Boom niet vrij uitgroeiend,Onbekend,1990,Gemeente Amsterdam,Stadsdeel Zuid,Aesculus,Aesculus,K,1,POINT(4.893976 52.354287),POINT(52.354287 4.893976),4.893976,52.354287,
67868,67869,Kers (cultuurvariëteit),530796,Prunus `Spire`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Zuid,Prunus,Prunus,K,1,POINT(4.899627 52.353767),POINT(52.353767 4.899627),4.899627,52.353767,
67869,67870,Kers (cultuurvariëteit),530795,Prunus `Spire`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Zuid,Prunus,Prunus,K,1,POINT(4.89979 52.353862),POINT(52.353862 4.89979),4.89979,52.353862,
68112,68113,Witte paardenkastanje,530978,Aesculus hippocastanum,Boom niet vrij uitgroeiend,9 tot 12 m.,1996,Gemeente Amsterdam,Stadsdeel Zuid,Aesculus,Aesculus,K,3,POINT(4.896495 52.355054),POINT(52.355054 4.896495),4.896495,52.355054,
68113,68114,Witte paardenkastanje,530977,Aesculus hippocastanum,Boom niet vrij uitgroeiend,Onbekend,1996,Gemeente Amsterdam,Stadsdeel Zuid,Aesculus,Aesculus,K,1,POINT(4.896274 52.355),POINT(52.355 4.896274),4.896274,52.355,
68162,68163,Witte paardenkastanje,530976,Aesculus hippocastanum,Boom niet vrij uitgroeiend,Onbekend,1993,Gemeente Amsterdam,Stadsdeel Zuid,Aesculus,Aesculus,K,1,POINT(4.896154 52.354971),POINT(52.354971 4.896154),4.896154,52.354971,
68172,68173,Witte paardenkastanje,530966,Aesculus hippocastanum,Boom niet vrij uitgroeiend,Onbekend,1992,Gemeente Amsterdam,Stadsdeel Zuid,Aesculus,Aesculus,K,1,POINT(4.898361 52.355049),POINT(52.355049 4.898361),4.898361,52.355049,
68173,68174,Witte paardenkastanje,530965,Aesculus hippocastanum,Boom niet vrij uitgroeiend,Onbekend,1990,Gemeente Amsterdam,Stadsdeel Zuid,Aesculus,Aesculus,K,1,POINT(4.898302 52.355137),POINT(52.355137 4.898302),4.898302,52.355137,
68299,68300,Gewone beuk,530930,Fagus sylvatica,Boom vrij uitgroeiend,tot 6 m.,2004,Gemeente Amsterdam,Stadsdeel Zuid,Overig,Fagus,K,1,POINT(4.898418 52.354183),POINT(52.354183 4.898418),4.898418,52.354183,
