,OBJECTNUMMER,Soortnaam_NL,Boomnummer,Soortnaam_WTS,Boomtype,Boomhoogte,Plantjaar,Eigenaar,Beheerder,Categorie,SOORT_KORT,SDVIEW,RADIUS,WKT_LNG_LAT,WKT_LAT_LNG,LNG,LAT,Unnamed: 17
13320,223321,Valse acacia,347179,Robinia pseudoacacia,Boom niet vrij uitgroeiend,15 tot 18 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Robinia,Robinia,A,5,POINT(4.898957 52.368477),POINT(52.368477 4.898957),4.898957,52.368477,
13321,223322,Valse acacia,347178,Robinia pseudoacacia,Boom niet vrij uitgroeiend,12 tot 15 m.,2000,Gemeente Amsterdam,Stadsdeel Centrum,Robinia,Robinia,A,4,POINT(4.899824 52.369259),POINT(52.369259 4.899824),4.899824,52.369259,
13322,223323,Iep (cultuurvariëteit),347177,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,6 tot 9 m.,2009,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,2,POINT(4.898309 52.369052),POINT(52.369052 4.898309),4.898309,52.369052,
13323,223324,Iep (cultuurvariëteit),347176,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,9 tot 12 m.,2007,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.897736 52.370201),POINT(52.370201 4.897736),4.897736,52.370201,
13526,223527,Iep (cultuurvariëteit),347175,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,9 tot 12 m.,2007,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.897389 52.369855),POINT(52.369855 4.897389),4.897389,52.369855,
13527,223528,Iep (cultuurvariëteit),347174,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,9 tot 12 m.,2007,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.896798 52.369246),POINT(52.369246 4.896798),4.896798,52.369246,
13528,223529,Iep (cultuurvariëteit),347173,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,9 tot 12 m.,2007,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.89669 52.369133),POINT(52.369133 4.89669),4.89669,52.369133,
13529,223530,Iep (cultuurvariëteit),347172,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,9 tot 12 m.,2007,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.896484 52.368919),POINT(52.368919 4.896484),4.896484,52.368919,
13870,223871,Iep (cultuurvariëteit),348537,Ulmus `Rebona`,Boom niet vrij uitgroeiend,6 tot 9 m.,2016,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,2,POINT(4.898705 52.369472),POINT(52.369472 4.898705),4.898705,52.369472,
14007,224008,Iep (cultuurvariëteit),346196,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,6 tot 9 m.,2006,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,2,POINT(4.899919 52.369226),POINT(52.369226 4.899919),4.899919,52.369226,
14169,224170,Hollandse iep (cultuurvariëteit),347348,Ulmus hollandica `Belgica`,Boom niet vrij uitgroeiend,6 tot 9 m.,2011,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,2,POINT(4.897134 52.36774),POINT(52.36774 4.897134),4.897134,52.36774,
14175,224176,Ruwe berk,347128,Betula pendula,Boom niet vrij uitgroeiend,9 tot 12 m.,2000,Gemeente Amsterdam,Stadsdeel Centrum,Betula,Betula,A,3,POINT(4.899251 52.370038),POINT(52.370038 4.899251),4.899251,52.370038,
