D06555 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;D06555;
Adres;Droogbak 13;
Status;Actief;
Straathoogte;1,64;m + NAP
Bovenkant buis;1,55;m + NAP
Top filter;-0,84;m + NAP
Bodem filter;-1,84;m + NAP
Diameter filter;51;mm
x-coördinaat;121382;
y-coördinaat;488145;
;;
;;
datum;meting NAP;
2022-02-01 08:10;-0,14;
2021-12-08 14:03;-0,05;
2021-09-27 09:57;-0,26;
2021-07-22 09:12;-0,23;
2021-03-26 08:14;-0,14;
2021-01-21 09:15;-0,08;
2020-11-11 09:02;-0,17;
2020-09-18 08:42;-0,22;
2020-07-14 09:06;-0,13;
2020-05-08 10:06;-0,21;
2020-03-18 08:50;-0,15;
2020-02-06 10:36;-0,16;
2019-11-21 08:57;-0,13;
2019-09-23 06:57;-0,25;
2019-08-06 08:26;-0,27;
2019-06-07 06:25;-0,22;
2019-03-21 12:35;-0,16;
2019-01-29 11:21;-0,19;
2018-12-05 11:22;-0,29;
2018-10-04 09:07;-0,21;
2018-07-17 06:25;-0,26;
2018-05-25 08:11;-0,21;
2018-04-03 08:56;-0,12;
2018-01-24 10:29;-0,09;
2017-11-17 10:26;-0,21;
2017-09-29 08:01;-0,19;
2017-08-18 10:32;-0,22;
2017-07-03 07:32;-0,28;
2017-03-23 08:21;-0,17;
2017-02-14 09:21;-0,23;
2016-12-20 08:41;-0,22;
2016-09-05 06:22;-0,22;
2016-08-17 12:00;-0,26;
2016-08-17 07:48;-0,19;
2016-08-16 12:00;-0,26;
2016-04-18 07:26;-0,10;
2016-04-12 07:14;-0,05;
2016-02-04 11:32;-0,06;
2016-02-01 11:08;-0,09;
2015-12-09 11:26;-0,13;
2015-11-18 12:08;-0,19;
2015-10-05 07:14;-0,16;
2015-09-17 08:22;-0,16;
2015-07-28 09:17;-0,23;
2015-06-22 08:34;-0,26;
2015-06-08 11:38;-0,28;
2015-05-21 07:24;-0,25;
2015-04-02 07:42;-0,16;
2015-03-19 09:32;-0,15;
2015-02-05 09:48;-0,05;
2015-02-03 08:02;-0,11;
2014-11-07 11:45;-0,08;
2014-10-09 08:13;-0,12;
2014-09-12 06:37;-0,12;
2014-07-15 08:14;-0,14;
2014-07-04 08:50;-0,18;
2014-06-10 12:36;-0,14;
2014-05-20 12:01;-0,15;
2014-03-19 09:35;-0,15;
2014-01-09 13:44;-0,11;
2013-11-18 10:14;-0,08;
2013-09-19 07:14;-0,12;
2013-07-12 06:13;-0,18;
2013-05-22 09:08;-0,07;
2013-04-16 08:07;-0,17;
2013-03-07 08:08;-0,08;
2012-11-28 08:19;-0,08;
2012-10-23 12:54;-0,07;
2012-09-27 07:17;0,37;
2012-07-23 09:35;-0,11;
2012-06-13 07:29;-0,14;
2012-05-07 06:45;-0,15;
2012-05-03 07:15;-0,11;
2012-03-30 06:58;-0,12;
2012-03-27 11:28;-0,15;
2012-03-21 08:00;-0,15;
2012-03-16 10:00;-0,11;
2012-03-12 10:00;-0,14;
2012-02-17 10:32;-0,17;
2012-01-23 12:00;-0,12;
2011-11-30 08:39;-0,23;
2011-09-23 05:25;-0,15;
2011-07-28 06:05;-0,18;
2011-06-20 09:08;-0,18;
2011-05-09 08:16;-0,22;
2011-03-14 08:16;-0,22;
2011-01-27 09:48;-0,19;
2010-12-09 08:29;-0,24;
2010-10-22 08:22;-0,10;
2010-09-27 06:40;-0,12;
2010-07-13 08:01;-0,19;
2010-05-21 07:27;-0,18;
2010-03-26 07:50;-0,09;
2010-01-19 09:50;-0,18;
2009-10-12 06:22;-0,17;
2009-08-27 06:44;-0,21;
2009-05-28 07:31;-0,13;
2009-04-16 06:25;-0,12;
2009-03-04 11:40;-0,06;
2009-01-22 10:24;-0,08;
2008-11-03 12:00;-0,11;
2008-09-17 12:00;-0,12;
2008-08-21 12:00;-0,18;
2008-07-08 12:00;-0,16;
2008-04-23 12:00;-0,14;
2008-03-04 12:00;-0,13;
2008-01-22 12:00;0,00;
2007-11-30 12:00;-0,15;
2007-07-18 12:00;-0,02;
2007-06-07 12:00;-0,04;
2007-04-16 12:00;-0,07;
2007-03-07 12:00;0,05;
2007-01-22 12:00;-0,01;
2006-12-28 12:00;-0,05;
2006-11-07 12:00;-0,06;
2006-10-02 12:00;-0,22;
2006-09-11 12:00;-0,20;
2006-08-09 12:00;-0,19;
2006-06-28 12:00;-0,17;
2006-04-19 12:00;-0,10;
2006-02-27 12:00;-0,12;
2006-01-25 12:00;-0,18;
2005-12-14 12:00;-0,06;
2005-11-08 12:00;-0,12;
2005-09-07 12:00;-0,05;
2005-07-04 12:00;-0,05;
2005-05-09 12:00;-0,06;
2005-03-31 12:00;-0,14;
2005-01-31 12:00;-0,12;
2004-11-29 12:00;-0,12;
2004-10-14 12:00;-0,26;
2004-09-14 12:00;-0,09;
2004-07-06 12:00;-0,12;
2004-05-10 12:00;-0,20;
2004-03-16 12:00;-0,16;
2004-02-06 12:00;0,00;
2003-12-01 12:00;-0,13;
2003-10-09 12:00;-0,11;
2003-09-01 12:00;-0,23;
2003-06-25 12:00;-0,20;
2003-04-28 12:00;-0,16;
2003-03-10 12:00;-0,13;
2003-02-13 12:00;-0,10;
2002-11-28 12:00;-0,14;
2002-10-01 12:00;-0,22;
2002-08-12 12:00;-0,14;
2002-05-28 12:00;-0,17;
2002-03-15 12:00;-0,05;
2002-01-29 12:00;-0,02;
2001-11-28 12:00;-0,06;
2001-09-25 12:00;0,03;
2001-08-07 12:00;-0,15;
2001-05-30 12:00;-0,06;
2001-03-28 12:00;-0,02;
2001-01-31 12:00;-0,08;
2000-11-30 12:00;0,02;
2000-09-25 12:00;-0,13;
2000-07-24 12:00;-0,08;
2000-06-05 12:00;-0,06;
2000-03-29 12:00;-0,04;
2000-03-23 12:00;-0,02;
1999-11-22 12:00;-0,08;
1999-09-07 12:00;-0,13;
1999-06-29 12:00;-0,15;
1999-04-27 12:00;-0,13;
1999-02-16 12:00;-0,21;
1998-11-17 12:00;0,04;
