D06090 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;D06090;
Adres;Waterlooplein hk Mr Visserplein;
Status;Actief;
Straathoogte;0,96;m + NAP
Bovenkant buis;0,81;m + NAP
Top filter;-1,70;m + NAP
Bodem filter;-2,70;m + NAP
Diameter filter;51;mm
x-coördinaat;122039;
y-coördinaat;486768;
;;
;;
datum;meting NAP;
2021-12-10 11:17;-,3;
2021-10-01 08:33;-,48;
2021-10-01 07:33;-,48;
2021-07-26 08:54;-,4;
2021-05-20 08:27;-,33;
2021-03-24 11:59;-,44;
2021-01-20 09:43;-,21;
2020-11-17 11:50;-,4;
2020-09-30 11:29;-,34;
2020-07-10 07:37;-,26;
2020-05-07 09:05;-,49;
2020-04-09 12:06;-,46;
2020-02-19 11:14;-,24;
2019-11-26 11:57;-,27;
2019-09-23 10:19;-,39;
2019-08-08 10:06;-,42;
2019-06-05 08:40;-,41;
2019-03-20 12:27;-,25;
2019-01-30 11:43;-,28;
2018-12-14 10:38;-,31;
2018-10-05 11:10;-,34;
2018-07-18 06:50;-,49;
2018-05-28 09:27;-,41;
2018-04-04 07:42;-,3;
2018-01-30 10:20;-,3;
2017-11-22 08:49;-,19;
2017-10-05 11:20;-,22;
2017-08-14 06:43;-,34;
2017-07-04 11:28;-,4;
2017-04-07 10:48;-,4;
2017-02-27 11:08;-,3;
2016-12-20 13:57;-,41;
2016-10-10 06:12;-,43;
2016-08-19 10:00;-,3;
2016-06-24 08:54;-,13;
2016-04-14 06:57;-,32;
2016-02-09 11:04;-,15;
2015-12-29 10:51;-,24;
2015-10-05 14:01;-,27;
2015-07-31 07:31;-,3;
2015-06-19 08:04;-,41;
2015-05-12 11:58;-,37;
2015-03-20 12:20;-,36;
2015-02-10 11:53;-,32;
2014-11-11 13:31;-,37;
2014-09-15 09:43;-,33;
2014-07-10 10:17;-,33;
2014-05-20 08:35;-,32;
2014-03-26 09:52;-,29;
2014-01-16 07:57;-,2;
2013-11-21 12:14;-,21;
2013-09-26 08:25;-,28;
2013-07-10 07:31;-,23;
2013-05-31 09:08;-,19;
2013-04-19 08:12;-,42;
2013-02-21 12:16;-,3;
2012-11-08 11:41;-,19;
2012-10-31 08:58;-,04;
2012-07-25 05:02;-,16;
2012-06-13 09:19;-,31;
2012-05-09 09:05;-,32;
