,x,y,z
0,119270,484702,-0.4757364341085271
1,119608,484459,-0.39095238095238083
2,120295,484742,-0.4690833333333336
3,118735,484582,-0.3553846153846154
4,120960,484391,-0.39633333333333337
5,120548,484724,-0.2737179487179488
6,120584,484581,-0.3316129032258065
7,120394,484610,-0.37308641975308643
8,120087,484436,-0.28086021505376346
9,120000,484604,-0.27204301075268816
10,120086,484718,-0.40602150537634407
11,119788,484503,-0.31645161290322593
12,119710,484672,-0.3369444444444445
13,119671,484337,-0.23052083333333334
14,119477,484331,-0.22978494623655912
15,119429,484667,-0.3339784946236559
16,119254,484354,-0.23913978494623658
17,119722,484033,-0.25055555555555553
18,120034,484020,-0.24955555555555564
19,120615,484659,-0.36153846153846153
20,119525,484177,-0.3241666666666666
21,119338,484493,-0.3955172413793103
22,120322,484610,-0.4075999999999999
23,121808,484330,-0.12905982905982905
24,121464,484543,-0.4570085470085469
25,121650,484458,-0.2638461538461538
26,121590,484544,-0.4078861788617885
27,121682,484565,-0.3223577235772358
28,122023,484640,-0.3207317073170731
29,122390,484025,-0.23233333333333336
30,121904,483667,-0.3946031746031746
31,121884,483465,-0.9164102564102563
32,121872,483870,-0.27838383838383846
33,124210,485127,-4.716666666666666
34,121817,483869,-0.2616260162601626
35,121746,483875,-0.2303703703703703
36,121619,483938,-0.3078861788617886
37,121628,483686,-0.4422499999999999
38,121542,483786,-0.5777499999999999
39,121413,483631,-0.5133333333333332
40,121343,483905,-0.557008547008547
41,121270,483998,-0.5987179487179487
42,121073,484149,-0.5927499999999999
43,122669,484721,-0.5907017543859648
44,122099,484712,-0.38634920634920633
45,121208,484714,-0.17539682539682536
46,121208,484714,-2.968015873015873
47,121208,484714,-2.944065040650407
48,122575,484397,-0.34316666666666673
49,122552,484501,-0.3671794871794873
50,122499,484593,-0.16715447154471544
51,121455,484279,-0.44833333333333336
52,121453,484706,-0.3352525252525253
53,122299,483989,-0.3230952380952381
54,121697,484708,-0.17645833333333333
55,121042,484697,-0.2825
56,123153,484635,-4.390229885057471
57,123147,484251,-3.582
58,123265,484295,-3.819784946236558
59,123133,484141,-3.352365591397849
60,123213,484071,-4.464895833333334
61,121133,484508,-0.3517777777777777
62,121333,484436,-0.356547619047619
63,121175,484322,-0.4272413793103449
64,121308,484222,-0.38023809523809515
65,121439,484126,-0.3408333333333333
66,121642,484355,-0.32222222222222224
67,121544,484035,-0.36444444444444446
68,121920,484434,-0.2807777777777778
69,122127,483839,-0.24738095238095234
70,122155,484337,-0.3933333333333333
71,122223,484127,-0.32345238095238094
72,122475,483870,-0.33555555555555555
73,122536,483788,-0.18356321839080453
74,122574,483949,-0.2676543209876543
75,114805,488467,-1.606923076923077
76,122404,484238,-0.3752380952380953
77,122354,484445,-0.41068965517241374
78,123672,489042,0.1474358974358974
79,123326,484428,-4.92528735632184
80,121466,484490,-0.6044444444444446
81,121785,484588,-0.39035714285714285
82,123313,484118,-4.7095238095238106
83,121761,487594,0.20583333333333334
84,121580,484110,-0.25641975308641973
85,121909,484615,-0.3252564102564103
86,123393,483900,-4.20575
87,123546,483785,-3.9586868686868684
88,123989,483522,-4.67094017094017
89,124605,483496,-3.3873643410852714
90,124605,483496,-3.2337209302325585
91,123886,483544,-1.2986666666666669
92,114652,485465,-1.2841025641025643
93,114618,485572,-1.3492307692307692
94,124521,484496,-3.850202020202021
95,123425,484281,-4.490641025641026
96,123360,484223,-4.704375000000001
97,123476,484119,-4.855104166666666
98,123357,484011,-4.7309375000000005
99,123566,484013,-4.857222222222222
100,123644,484140,-4.293563218390805
101,123763,484165,-4.360000000000001
102,123722,484038,-4.304479166666665
103,123883,484543,-4.3352564102564095
104,124020,484611,-4.360555555555556
105,124100,484737,-4.790000000000001
106,123978,484434,-4.3781720430107525
107,123884,484339,-4.454374999999998
108,123986,484232,-4.2965625
109,124061,484365,-4.509871794871795
110,124210,484405,-4.510625
111,124141,484285,-4.544193548387096
112,124271,484297,-4.627395833333333
113,124097,484121,-4.516666666666667
114,124340,484526,-4.556145833333334
115,124578,484745,-4.654333333333333
116,124432,484429,-4.686041666666668
117,124521,484521,-4.520107526881722
118,124805,484030,-4.719569892473118
119,123612,483933,-4.685053763440861
120,123542,483825,-4.261770833333332
121,124699,483901,-4.5997619047619045
122,124580,483786,-5.1298765432098765
123,124835,483798,-4.473
124,124977,483849,-4.358817204301075
125,124520,483660,-4.637956989247312
126,124682,483687,-4.190104166666667
127,124865,483653,-4.48967741935484
128,125194,483787,-4.305999999999999
129,124629,483510,-4.497526881720431
130,124772,483533,-4.283010752688171
131,124912,483526,-4.44494623655914
132,125082,483605,-4.423958333333333
133,123567,484303,-3.4540000000000006
134,123362,484543,-5.129080459770115
135,123450,484450,-4.999848484848485
136,123517,484358,-4.808928571428571
137,124445,484605,-4.749642857142858
138,124366,484686,-4.6988095238095235
139,123515,484078,-4.700555555555555
140,111674,481388,-5.0680208333333345
141,111674,481388,-4.622368421052631
142,120752,482022,-1.8186904761904759
143,119766,482819,-1.6304597701149424
