E08204 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;E08204;
Adres;Martin Cortesstraat  2;
Status;Actief;
Straathoogte;1,40;m + NAP
Bovenkant buis;1,36;m + NAP
Top filter;-0,79;m + NAP
Bodem filter;-1,79;m + NAP
Diameter filter;60;mm
x-coördinaat;127105;
y-coördinaat;486133;
;;
;;
datum;meting NAP;
2021-12-20 12:06;-0,07;
2021-10-20 10:15;-0,06;
2021-08-24 08:04;-0,06;
2021-07-01 08:28;0,08;
2021-04-08 12:57;-0,08;
2021-03-04 09:03;-0,05;
2020-12-17 08:17;-0,17;
2020-10-27 10:22;-0,04;
2020-09-08 07:30;0,06;
2020-07-17 11:04;-0,09;
2020-05-27 09:16;-0,10;
2020-04-09 06:59;0,00;
2019-12-17 08:53;0,01;
2019-10-14 06:53;0,16;
2019-08-22 06:49;-0,08;
2019-06-18 09:57;0,10;
2019-04-09 11:26;0,01;
2019-02-28 09:30;-0,15;
2018-12-18 12:14;-0,05;
2018-10-22 12:44;-0,18;
2018-08-13 09:14;-0,19;
2018-06-15 10:34;-0,09;
2018-04-20 07:01;-0,03;
2018-02-15 11:48;0,06;
2017-12-14 09:13;0,20;
2017-10-23 08:04;-0,04;
2017-08-25 07:08;-0,03;
2017-07-25 11:10;-0,01;
2017-03-08 09:33;-0,07;
2017-01-12 09:58;-0,26;
2016-10-27 08:33;-0,16;
2016-09-14 08:50;-0,08;
2016-06-22 08:50;0,07;
2016-05-17 08:33;-0,04;
2016-02-15 10:43;0,03;
2015-12-16 09:45;0,05;
2015-10-08 10:29;0,00;
2015-08-24 08:03;0,10;
2015-07-07 08:26;-0,12;
2015-05-27 09:52;-0,17;
2015-04-02 10:58;-0,08;
2015-02-20 08:49;-0,08;
2014-11-24 13:39;-0,25;
2014-10-02 07:48;-0,11;
2014-08-20 07:28;0,03;
2014-06-16 07:45;-0,04;
2014-04-29 07:42;-0,14;
2014-02-11 14:14;-0,05;
2013-12-05 12:59;-0,03;
2013-10-10 11:21;-0,14;
2013-08-22 12:13;-0,16;
2013-06-14 12:01;-0,05;
2013-05-16 12:57;-0,17;
2013-03-26 12:58;-0,11;
2012-12-05 10:30;-0,07;
2012-11-07 10:59;-0,05;
2012-10-04 10:02;-0,03;
2012-09-12 11:05;0,01;
2012-05-22 07:11;-0,09;
2012-04-26 09:54;-0,13;
2012-01-31 09:09;0,02;
2011-12-21 13:09;-0,05;
2011-11-28 10:00;-0,20;
