E06131 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;E06131;
Adres;Jan Steenstraat (2e) hk Sarphatipark 99;
Status;Actief;
Straathoogte;0,49;m + NAP
Bovenkant buis;0,45;m + NAP
Top filter;-2,37;m + NAP
Bodem filter;-3,37;m + NAP
Diameter filter;51;mm
x-coördinaat;121690;
y-coördinaat;485397;
;;
;;
datum;meting NAP;
2022-02-02 11:59;-0,81;
2021-12-08 11:25;-0,76;
2021-09-27 07:49;-1,06;
2021-07-22 06:25;-1,08;
2021-05-06 08:09;-0,90;
2021-03-24 08:56;-0,84;
2021-01-14 10:54;-0,75;
2020-11-11 09:45;-0,87;
2020-09-28 10:22;-0,96;
2020-07-14 09:14;-0,90;
2020-04-29 10:17;-0,88;
2020-03-20 08:08;-0,80;
2020-01-21 10:39;-0,90;
2019-11-18 10:53;-0,77;
2019-09-17 06:39;-0,96;
2019-07-22 10:45;-1,02;
2019-06-03 10:02;-1,11;
2019-03-20 13:27;-0,80;
2019-01-28 11:42;-0,75;
2018-12-05 10:07;-0,80;
2018-10-03 08:57;-0,80;
2018-07-17 09:33;-1,11;
2018-05-15 11:04;-0,89;
2018-03-29 08:42;-0,81;
2018-01-24 11:32;-0,68;
2017-11-14 11:06;-0,82;
2017-09-26 09:50;-0,75;
2017-08-11 09:57;-0,91;
2017-06-22 09:47;-0,95;
2017-03-22 11:07;-0,73;
2017-02-01 13:01;-0,79;
2016-12-01 09:16;-0,48;
2016-10-04 10:28;-0,85;
2016-08-10 07:54;-0,80;
2016-04-06 09:39;-0,73;
2016-01-28 13:19;-0,72;
2015-12-07 10:02;-0,72;
2015-09-10 11:14;-0,75;
2015-07-16 09:21;-1,04;
2015-06-09 07:50;-0,95;
2015-03-12 08:51;-0,74;
2015-01-28 11:43;-0,70;
2014-11-06 09:44;-0,82;
2014-09-10 11:16;-0,80;
2014-07-02 08:09;-0,92;
2014-05-07 10:31;-0,84;
2014-04-08 09:56;-0,75;
2014-03-17 11:43;-0,82;
2014-01-15 10:44;-0,75;
2013-10-29 12:43;-0,71;
2013-10-14 09:00;-0,64;
2013-09-17 08:55;-0,77;
2013-07-15 08:01;-0,87;
2013-04-17 08:15;-0,83;
2013-02-20 12:43;-0,72;
2012-09-25 10:17;-0,70;
2012-07-18 10:01;-0,63;
2012-05-21 10:01;-0,81;
