D06681 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;D06681;
Adres;Spuistraat nr 210;
Status;Afgesloten;
Straathoogte;0,71;m + NAP
Bovenkant buis;0,66;m + NAP
Top filter;-1,82;m + NAP
Bodem filter;-2,82;m + NAP
Diameter filter;51;mm
x-coördinaat;121094;
y-coördinaat;487236;
;;
;;
datum;meting NAP;
2019-06-07 07:15;-0,46;
2019-03-21 13:22;-0,52;
2019-01-29 13:37;-0,55;
2018-12-05 12:02;-0,65;
2018-10-04 10:44;-0,66;
2016-12-20 10:46;-0,62;
2016-04-18 09:25;-0,59;
2016-02-05 10:36;-0,54;
2015-12-09 13:18;-0,56;
2015-09-18 08:15;-0,48;
2015-07-29 07:19;-0,51;
2015-06-22 11:29;-0,65;
2015-05-21 06:21;-0,66;
2015-03-19 10:12;-0,65;
2015-02-05 12:29;-0,58;
2014-11-07 12:57;-0,61;
2014-09-12 06:04;-0,62;
2014-07-04 09:24;-0,65;
2014-05-21 13:21;-0,60;
2014-03-19 11:04;-0,62;
2014-01-10 13:04;-0,57;
2013-11-19 10:40;-0,52;
2013-09-19 07:58;-0,50;
2013-07-12 05:49;-0,58;
2013-05-22 09:50;-0,43;
2013-04-16 11:00;-0,64;
2013-03-07 09:45;-0,61;
2012-11-28 09:36;-0,60;
2012-09-27 10:22;-0,59;
2012-07-23 08:26;-0,48;
2012-06-13 09:23;-0,60;
2012-05-07 08:40;-0,63;
2012-03-27 12:09;-0,69;
2012-02-17 09:32;-0,66;
2011-11-30 12:43;-0,71;
2011-09-23 06:48;-0,61;
2011-07-28 08:08;-0,54;
2011-06-20 07:42;-0,55;
2011-05-11 07:24;-0,54;
2011-01-27 12:33;-0,60;
2010-12-09 09:54;-0,66;
2010-10-25 07:22;-0,53;
2010-09-27 07:53;-0,55;
2010-07-13 07:06;-0,56;
2010-05-21 08:42;-0,68;
2010-03-26 11:03;-0,58;
2010-01-19 13:08;-0,62;
2009-10-12 07:43;-0,60;
2009-08-27 10:23;-0,67;
2009-05-28 09:37;-0,56;
2009-04-16 08:10;-0,59;
2009-03-04 09:00;-0,53;
2009-01-23 11:49;-0,51;
2008-11-03 12:00;-0,59;
2008-08-21 12:00;-0,59;
2008-07-08 12:00;-0,62;
2008-04-23 12:00;-0,61;
2008-03-04 12:00;-0,63;
2008-01-22 12:00;-0,52;
2007-11-30 12:00;-0,62;
2007-07-19 12:00;-0,54;
2007-04-16 12:00;-0,62;
2007-03-08 12:00;-0,48;
2007-01-23 12:00;-0,52;
2006-12-28 12:00;-0,56;
2006-11-07 12:00;-0,57;
2006-10-04 12:00;-0,52;
2006-08-10 12:00;-0,59;
2006-06-28 12:00;-0,62;
2006-04-19 12:00;-0,58;
2006-02-27 12:00;-0,60;
2006-01-25 12:00;-0,65;
2005-12-13 12:00;-0,56;
2005-11-08 12:00;-0,56;
2005-09-07 12:00;-0,59;
2005-07-05 12:00;-0,42;
2005-05-09 12:00;-0,57;
2005-03-31 12:00;-0,65;
2005-01-31 12:00;-0,59;
2004-11-29 12:00;-0,52;
