E06252 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;E06252;
Adres;Vijzelstraat 77;
Status;Actief;
Straathoogte;1,26;m + NAP
Bovenkant buis;1,16;m + NAP
Top filter;-1,19;m + NAP
Bodem filter;-2,19;m + NAP
Diameter filter;51;mm
x-coördinaat;121320;
y-coördinaat;486403;
;;
;;
datum;meting NAP;
2022-02-04 10:27;-0,19;
2021-12-29 12:07;-0,12;
2021-10-04 11:40;-0,23;
2021-07-27 09:48;-0,25;
2021-05-26 09:06;-0,08;
2021-03-26 09:41;-0,19;
2021-01-27 09:17;-0,04;
2020-11-18 08:24;-0,24;
2020-10-02 07:49;-0,18;
2020-07-28 11:39;-0,21;
2019-02-01 10:08;-0,21;
2018-12-17 13:55;-0,28;
2018-10-23 11:29;-0,34;
2018-07-24 09:56;-0,42;
2018-05-31 09:48;-0,29;
2018-04-06 08:37;-0,17;
2015-09-01 08:30;-0,50;
2014-03-21 10:49;-0,65;
2014-01-07 12:01;-0,57;
2013-07-16 05:51;-0,47;
2013-03-25 09:15;-0,31;
2013-02-21 11:39;0,01;
2012-12-27 09:39;-0,30;
2012-07-24 08:03;-0,19;
2012-02-15 10:26;-0,68;
2011-12-20 10:58;-0,28;
2011-11-16 10:14;-0,33;
2011-10-02 08:48;-0,30;
2011-09-19 12:52;-0,24;
2011-08-30 07:16;-0,30;
2011-06-03 05:39;-0,44;
2011-03-23 10:06;-0,36;
2011-02-07 09:14;-0,34;
2010-10-28 07:57;-0,32;
2010-09-23 08:21;-0,20;
2010-07-01 10:01;-0,42;
2010-05-27 09:06;-0,33;
2010-03-31 09:11;-0,27;
2010-01-19 12:05;-0,31;
2009-10-15 11:00;-0,48;
2009-06-04 11:31;-0,37;
2009-04-17 08:17;-0,26;
2009-03-09 11:35;-0,28;
2009-02-11 09:22;-0,29;
2008-11-07 12:00;-0,31;
2008-11-06 12:00;-0,30;
2008-09-18 12:00;-0,43;
2008-08-05 12:00;-0,35;
2008-03-05 12:00;-0,32;
2007-11-27 12:00;-0,38;
2007-10-10 12:00;-0,36;
2007-08-24 12:00;-0,33;
2007-06-20 12:00;-0,28;
2007-04-20 12:00;-0,33;
2007-03-06 12:00;-0,20;
2007-01-22 12:00;-0,22;
2006-12-12 12:00;-0,19;
2006-11-09 12:00;-0,29;
2006-10-17 12:00;-0,38;
2006-10-04 12:00;-0,36;
2006-08-02 12:00;-0,48;
2006-06-26 12:00;-0,38;
2006-04-25 12:00;-0,24;
2006-03-07 12:00;-0,26;
2006-01-24 12:00;-0,29;
2005-12-15 12:00;-0,38;
2005-11-10 12:00;-0,50;
2005-09-16 12:00;-0,33;
2005-07-05 12:00;-0,38;
2005-05-20 12:00;-0,30;
2005-03-29 12:00;-0,25;
2005-02-02 12:00;-0,30;
2004-12-02 12:00;-0,25;
2004-11-02 12:00;-0,36;
2004-09-20 12:00;-0,43;
2004-07-08 12:00;-0,35;
2004-05-13 12:00;-0,44;
2004-03-22 12:00;-0,69;
2004-02-04 12:00;-0,60;
2003-11-25 12:00;-0,39;
2003-10-21 12:00;-0,50;
2003-09-04 12:00;-0,81;
2003-07-23 12:00;-0,67;
2003-04-28 12:00;-0,45;
2003-03-12 12:00;-0,40;
2002-12-06 12:00;-0,46;
2002-09-30 12:00;-0,45;
2002-08-01 12:00;-0,36;
2002-03-19 12:00;-0,33;
2002-02-05 12:00;-0,33;
2001-11-26 12:00;-0,31;
2001-10-01 12:00;-0,22;
2001-08-09 12:00;-0,35;
2001-06-05 12:00;-0,36;
2001-04-09 12:00;-0,35;
2001-02-06 12:00;-0,30;
2000-12-07 12:00;-0,34;
2000-10-03 12:00;-0,37;
2000-07-24 12:00;-0,34;
2000-06-19 12:00;-0,34;
2000-03-29 12:00;-0,33;
2000-02-07 12:00;-0,34;
1999-11-23 12:00;-0,34;
1999-09-07 12:00;-0,38;
1999-07-06 12:00;-0,35;
1999-04-27 12:00;-0,33;
1999-03-01 12:00;-0,30;
1998-12-01 12:00;-0,32;
1998-09-16 12:00;-0,28;
1998-07-20 12:00;-0,32;
1998-05-06 12:00;-0,33;
1998-02-05 12:00;-0,35;
1997-11-26 12:00;-0,38;
1997-09-08 12:00;-0,32;
1997-07-07 12:00;-0,32;
1997-05-12 12:00;-0,36;
1997-03-04 12:00;-0,33;
1997-01-30 12:00;-0,39;
1996-11-07 12:00;-0,33;
1996-09-10 12:00;-0,35;
1996-07-17 12:00;-0,40;
1996-05-20 12:00;-0,38;
1996-02-06 12:00;-0,40;
1996-01-09 12:00;-0,36;
1995-12-18 12:00;-0,37;
1995-10-30 12:00;-0,34;
1995-08-25 12:00;-0,38;
1995-06-09 12:00;-0,31;
1995-04-10 12:00;-0,27;
1995-01-31 12:00;-0,28;
1994-12-13 12:00;-0,29;
1994-11-03 12:00;-0,30;
1994-08-24 12:00;-0,34;
1994-06-06 12:00;-0,35;
1994-04-05 12:00;-0,29;
1994-01-31 12:00;-0,28;
1994-01-03 12:00;-0,28;
1993-11-08 12:00;-0,30;
1993-08-24 12:00;-0,26;
1993-06-09 12:00;-0,29;
1993-04-05 12:00;-0,32;
1993-01-25 12:00;-0,31;
1992-11-02 12:00;-0,30;
1992-09-21 12:00;-0,30;
1992-07-20 12:00;-0,30;
1992-05-18 12:00;-0,30;
1992-03-17 12:00;-0,29;
1992-01-30 12:00;-0,31;
1991-10-28 12:00;-0,30;
1991-08-14 12:00;-0,37;
1991-06-03 12:00;-0,45;
1991-04-02 12:00;-0,42;
1991-01-21 12:00;-0,28;
1990-12-07 12:00;-0,28;
1990-10-03 12:00;-0,27;
1990-06-19 12:00;-0,31;
1990-04-20 12:00;-0,28;
1989-11-07 12:00;-0,28;
1989-09-05 12:00;-0,36;
1989-06-27 12:00;-0,27;
1989-04-21 12:00;-0,26;
1989-01-27 12:00;-0,29;
1988-11-22 12:00;-0,31;
1988-09-01 12:00;-0,27;
1988-06-23 12:00;-0,31;
1988-04-19 12:00;-0,28;
1988-02-03 12:00;-0,27;
1987-11-25 12:00;-0,27;
1987-09-10 12:00;-0,26;
1987-06-24 12:00;-0,26;
1987-04-22 12:00;-0,27;
1987-02-18 12:00;-0,26;
1986-11-28 12:00;-0,28;
1986-09-16 12:00;-0,28;
1986-06-30 12:00;-0,40;
1986-04-24 12:00;-0,27;
1986-02-05 12:00;-0,23;
1985-11-25 12:00;-0,31;
1985-09-06 12:00;-0,27;
1985-06-27 12:00;-0,25;
1985-04-22 12:00;-0,27;
1985-02-22 12:00;-0,29;
1984-11-06 12:00;-0,25;
1984-08-23 12:00;-0,27;
1984-06-06 12:00;-0,26;
1984-03-17 12:00;-0,57;
1984-01-10 12:00;-0,26;
1983-11-11 12:00;-0,30;
1983-09-06 12:00;-0,27;
1983-07-05 12:00;-0,26;
1983-05-03 12:00;-0,24;
1983-02-24 12:00;-0,24;
1983-01-12 12:00;-0,25;
1982-11-04 12:00;-0,26;
1982-09-07 12:00;-0,26;
1982-07-27 12:00;-0,27;
1982-05-19 12:00;-0,27;
1982-03-25 12:00;-0,26;
1982-02-01 12:00;-0,23;
1981-11-20 12:00;-0,27;
1981-09-10 12:00;-0,32;
1981-06-23 12:00;-0,25;
1981-03-24 12:00;-0,25;
1981-01-22 12:00;-0,25;
1980-11-03 12:00;-0,29;
1980-08-19 12:00;-0,29;
1980-06-23 12:00;-0,21;
1980-06-09 12:00;-0,27;
1980-03-13 12:00;-0,23;
